Entity,Code,Year,Productivity: output per hour worked
Norway,NOR,1986,37.816162
Norway,NOR,1987,38.734505
Norway,NOR,1988,37.339443
Norway,NOR,1989,40.062706
Norway,NOR,1990,44.95071
Norway,NOR,1991,45.559517
Norway,NOR,1992,46.800808
Norway,NOR,1993,47.055927
Norway,NOR,1994,48.30773
Norway,NOR,1995,51.57199
Norway,NOR,1996,57.040657
Norway,NOR,1997,58.731735
Norway,NOR,1998,54.6418
Norway,NOR,1999,60.438477
Norway,NOR,2000,74.944664
Norway,NOR,2001,77.07967
Norway,NOR,2002,75.60525
Norway,NOR,2003,83.69843
Norway,NOR,2004,88.14824
Norway,NOR,2005,108.196556
Norway,NOR,2006,114.72537
Norway,NOR,2007,111.84552
Norway,NOR,2008,123.31775
Norway,NOR,2009,106.1077
Norway,NOR,2010,114.91975
Norway,NOR,2011,124.166626
Norway,NOR,2012,129.02542
Norway,NOR,2013,125.781
Norway,NOR,2014,116.55276
Norway,NOR,2015,97.47578
Norway,NOR,2016,93.00969
Norway,NOR,2017,96.84903
Norway,NOR,2018,103.562225
Norway,NOR,2019,100.325645
Pakistan,PAK,1970,2.9666708
Pakistan,PAK,1971,3.017757
Pakistan,PAK,1972,2.866751
Pakistan,PAK,1973,2.9309175
Pakistan,PAK,1974,2.999609
Pakistan,PAK,1975,3.0776088
Pakistan,PAK,1976,3.1582005
Pakistan,PAK,1977,3.166501
Pakistan,PAK,1978,3.2872465
Pakistan,PAK,1979,3.2886379
Pakistan,PAK,1980,3.4211724
Pakistan,PAK,1981,3.598599
Pakistan,PAK,1982,3.6589348
Pakistan,PAK,1983,3.8796856
Pakistan,PAK,1984,3.977794
Pakistan,PAK,1985,4.1516323
Pakistan,PAK,1986,4.274906
Pakistan,PAK,1987,4.317833
Pakistan,PAK,1988,4.5460234
Pakistan,PAK,1989,4.7451615
